source,name,family,n,delta,theta_count,U,s,r,J,B,D,S,D_over_B,D_over_delta,negative_coefficients
fresh,fresh-alpha=19/20,fresh-two-carrier-insert-alpha-sequence,6,1007839/12000000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=19/20,fresh-two-carrier-insert-alpha-sequence,6,1007839/12000000,7,"[0, 2, 4]",2,1,[3],1425/32192,285/128768,285/128768,1/20,13359375/506943017,[]
fresh,fresh-alpha=191/200,fresh-two-carrier-insert-alpha-sequence,6,11859/125000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=191/200,fresh-two-carrier-insert-alpha-sequence,6,11859/125000,7,"[0, 2, 4]",2,1,[3],25/503,9/4024,9/4024,9/200,46875/1988359,[]
fresh,fresh-alpha=24/25,fresh-two-carrier-insert-alpha-sequence,6,31462/296875,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=24/25,fresh-two-carrier-insert-alpha-sequence,6,31462/296875,7,"[0, 2, 4]",2,1,[3],528/9557,528/238925,528/238925,1/25,165000/7912693,[]
fresh,fresh-alpha=193/200,fresh-two-carrier-insert-alpha-sequence,6,3012617/23500000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=193/200,fresh-two-carrier-insert-alpha-sequence,6,3012617/23500000,7,"[0, 2, 4]",2,1,[3],12545/189128,17563/7565120,17563/7565120,7/200,54884375/3030692702,[]
fresh,fresh-alpha=97/100,fresh-two-carrier-insert-alpha-sequence,6,1756637/11625000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=97/100,fresh-two-carrier-insert-alpha-sequence,6,1756637/11625000,7,"[0, 2, 4]",2,1,[3],2425/31186,291/124744,291/124744,3/100,13640625/883588411,[]
fresh,fresh-alpha=971/1000,fresh-two-carrier-insert-alpha-sequence,6,751933/4625000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=971/1000,fresh-two-carrier-insert-alpha-sequence,6,751933/4625000,7,"[0, 2, 4]",2,1,[3],7768/93055,28159/11631875,28159/11631875,29/1000,5631800/378222299,[]
fresh,fresh-alpha=243/250,fresh-two-carrier-insert-alpha-sequence,6,1001639/5750000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=243/250,fresh-two-carrier-insert-alpha-sequence,6,1001639/5750000,7,"[0, 2, 4]",2,1,[3],4131/46276,28917/11569000,28917/11569000,7/250,7229250/503824417,[]
fresh,fresh-alpha=487/500,fresh-two-carrier-insert-alpha-sequence,6,2250919/11375000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=487/500,fresh-two-carrier-insert-alpha-sequence,6,2250919/11375000,7,"[0, 2, 4]",2,1,[3],9253/91546,9253/3521000,9253/3521000,13/500,15036125/1132212257,[]
fresh,fresh-alpha=39/40,fresh-two-carrier-insert-alpha-sequence,6,4750229/22625000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=39/40,fresh-two-carrier-insert-alpha-sequence,6,4750229/22625000,7,"[0, 2, 4]",2,1,[3],9750/91043,975/364172,975/364172,1/40,30468750/2389365187,[]
fresh,fresh-alpha=122/125,fresh-two-carrier-insert-alpha-sequence,6,62489/281250,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=122/125,fresh-two-carrier-insert-alpha-sequence,6,62489/281250,7,"[0, 2, 4]",2,1,[3],854/7545,854/314375,854/314375,3/125,54900/4490281,[]
fresh,fresh-alpha=977/1000,fresh-two-carrier-insert-alpha-sequence,6,5248511/22375000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=977/1000,fresh-two-carrier-insert-alpha-sequence,6,5248511/22375000,7,"[0, 2, 4]",2,1,[3],10747/90037,247181/90037000,247181/90037000,23/1000,30897625/2640001033,[]
